Date,Power,Speed,Direction,Cluster
2020-02-01 06:00:00,283.11773811666666,6.032188300333334,21.25695108833333,1.0
2020-02-01 07:00:00,352.1181619833333,6.550966439333333,22.66928280666667,1.0
2020-02-01 08:00:00,338.29187186666667,6.343682983499999,14.201610168333334,1.0
2020-02-01 10:00:00,325.04340026666665,6.150034962166667,16.650453173333332,1.0
2020-02-01 13:00:00,281.9038661483333,5.869082154333333,339.03930384999995,1.0
2020-02-01 18:00:00,336.87841198333336,6.402754945333334,14.396867843333332,1.0
2020-03-01 18:00:00,404.9927427999999,6.938170913666667,15.581979381666663,1.0
2020-04-01 14:00:00,289.56141238333333,6.021513620166666,202.62403896666663,1.0
2020-05-01 17:00:00,449.7564634666666,6.913826676333333,268.429146185,1.0
2020-05-01 19:00:00,301.1598035833333,6.012574708333333,330.82136468333334,1.0
2020-07-01 23:00:00,312.51273388333334,6.305208028,113.46662486,1.0
2020-08-01 01:00:00,270.08077445,6.023282802333334,11.993997245666668,1.0
2020-09-01 10:00:00,387.2836019166666,6.517118635166667,16.270408808333332,1.0
2020-09-01 22:00:00,280.53420166666666,6.062964485666666,17.15033724666667,1.0
2020-09-01 23:00:00,394.2845787,6.746101017833333,17.811616626666666,1.0
2020-10-01 00:00:00,395.4985737333333,6.703425767,20.37232467,1.0
2020-10-01 02:00:00,453.33536955,6.861333009500001,18.184679556666666,1.0
2020-10-01 12:00:00,270.5918011333334,5.845196016,339.49389876666663,1.0
2020-10-01 20:00:00,421.2358812666667,6.789090474833333,11.059168206166667,1.0
2020-11-01 12:00:00,341.74592701666666,6.317565266833334,341.9541882666667,1.0
2020-11-01 13:00:00,315.3069949333333,6.083442437833334,339.00606910000005,1.0
2020-11-01 14:00:00,421.8373188000001,6.7475040696666655,159.22670616,1.0
2020-01-13 23:00:00,410.5296155533333,6.379952858,38.51672468333334,1.0
2020-01-14 02:00:00,412.881217203,5.747214266,71.61992443166667,1.0
2020-01-15 06:00:00,331.9009831,6.473710869833333,21.18718948833333,1.0
2020-01-15 07:00:00,382.2652748666666,6.854143799,20.685881303333336,1.0
2020-01-15 08:00:00,404.0258495166667,6.891897703000001,26.876841036666665,1.0
2020-01-15 09:00:00,414.2005832833333,6.796877122999999,16.830583928333333,1.0
2020-01-15 10:00:00,343.5754450333333,6.360281726666667,15.198154052666665,1.0
2020-01-15 11:00:00,328.23340421666666,6.241372393,30.96526528333333,1.0
2020-01-16 02:00:00,333.85900753333334,6.450732247833334,34.83693945833334,1.0
2020-01-16 03:00:00,354.91873173333335,6.536013365333333,31.654691423333333,1.0
2020-01-16 07:00:00,268.8863970833333,6.074963378333333,26.759436765000004,1.0
2020-01-16 08:00:00,398.6836310666667,6.669645382166667,25.975244380000003,1.0
2020-01-16 10:00:00,293.95620633333334,6.096644204833333,324.6334402333334,1.0
2020-01-16 14:00:00,346.44351996666666,6.550807017833333,341.36117145,1.0
2020-01-16 18:00:00,455.3657177333334,6.962142915166666,28.842766041666668,1.0
2020-01-16 19:00:00,388.3010243833334,6.749203489166668,14.79767125666667,1.0
2020-01-16 20:00:00,449.6873806833333,7.187218059333333,18.238796261666668,1.0
2020-01-19 02:00:00,382.81555368333335,6.770068788333333,25.202615578333333,1.0
2020-01-19 06:00:00,442.1915890333333,7.065154706166666,30.178548756666668,1.0
2020-01-19 22:00:00,375.51810558333335,6.603450578500001,29.319183045,1.0
2020-01-20 08:00:00,450.6710825,7.039203599333334,21.87948669333333,1.0
2020-01-21 21:00:00,364.4614644,6.609426938,55.45911752999999,1.0
2020-01-21 22:00:00,268.910852,5.9798755393333325,73.88540103499999,1.0
2020-01-22 02:00:00,377.38080407816665,6.575287177333333,321.66227825,1.0
2020-01-22 08:00:00,325.2824141933333,6.327486613166666,184.3691707633333,1.0
2020-01-22 09:00:00,452.51001206666666,7.168529331666666,29.066805121666672,1.0
2020-01-23 15:00:00,285.12760670000006,6.206789161,311.954746,1.0
2020-01-23 17:00:00,455.4907825333333,7.208758387166667,18.265400958,1.0
2020-01-23 23:00:00,268.21660226666665,6.409521748833334,54.08097869833333,1.0
2020-01-24 03:00:00,271.7213703833333,6.135479684000001,18.17785226,1.0
2020-01-24 04:00:00,358.00348365,6.564513864333335,14.802788988333331,1.0
2020-01-24 09:00:00,362.4373353,6.7003721831666665,17.94595077166667,1.0
2020-01-02 04:00:00,304.71461963333337,6.055356215166667,25.62396382833333,1.0
2020-02-02 02:00:00,444.39884911666667,7.075447844166665,28.63935228,1.0
2020-02-02 03:00:00,444.9716835166666,7.006641103333334,27.765492205000005,1.0
2020-02-02 08:00:00,286.67966526666663,6.152808869,35.38090867,1.0
2020-02-02 11:00:00,418.4122458833333,6.795429812000001,53.10690226166667,1.0
2020-02-02 13:00:00,389.1916111166667,6.729727517,205.579786955,1.0
2020-02-02 20:00:00,415.6239114333334,6.8083089145,20.86521971,1.0
2020-02-02 22:00:00,279.65238721500003,5.888983054666666,217.3774568633333,1.0
2020-03-02 02:00:00,378.45745411666667,6.6172137766666665,15.380650646666666,1.0
2020-03-02 04:00:00,346.31375835,6.689630896166666,35.692780085,1.0
2020-03-02 05:00:00,336.5937979333333,6.429366690833334,27.916755433333336,1.0
2020-10-02 03:00:00,439.8248428666668,6.902623573,24.90366198,1.0
2020-10-02 15:00:00,401.7686788333333,6.733630876,12.014088262333331,1.0
2020-10-02 22:00:00,294.2706243166667,6.2092208855,345.44358055000004,1.0
2020-11-02 11:00:00,348.125593,6.578286311,309.8020469,1.0
2020-12-02 17:00:00,346.88628805,6.5281263465,19.15171859166667,1.0
